"","duration_in_seconds","response_id","user_language","consent","animal_type","animal_type_8_text","org_years","org_geographic_lvl","org_country","org_size","org_budget","org_budget_currency","org_budget_currency_5_text","org_mission","org_mission_4_text","country_focus","org_advocacy","org_advocacy_6_text","org_focus","org_focus_6_text","advocacy_diet","advocacy_diet_4_text","advocacy_corporate","advocacy_corporate_4_text","advocacy_policy","advocacy_policy_5_text","advocacy_inst","advocacy_inst_5_text","interest_diet","interest_diet_r1","interest_diet_r2","interest_corp","interest_corp_r1","interest_corp_r2","interest_policy","interest_policy_r1","interest_policy_r2","interest_inst","interest_inst_r1","interest_inst_r2","interest_direct","interest_direct_r1","interest_direct_r2","advocacy_satisfy_1","advocacy_satisfy_2","advocacy_satisfy_3","advocacy_satisfy_4","advocacy_satisfy_5","advocacy_satisfy_6","advocacy_satisfy_6_text","diet_dissatisfy","corporate_dissatisfy","policy_dissatisfy","insti_dissatisfy","direct_dissatisfy","other_dissatisfy","factors_importance_1","factors_importance_2","factors_importance_3","factors_importance_4","factors_importance_5","obstacles_1","obstacles_2","obstacles_3","obstacles_4","obstacles_5","obstacles_6","resources_1","resources_2","resources_3","resources_4","resources_5","resources_6","resources_7","resources_8","participant_role","participant_role_9_text","q_language","speed_limit","flag_speed"
"108",4087,"R_3e2Jm6t2JHwWWWe","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Wild animals","","1-2 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Online only","1-5","","","","Mixed: Combines ideas related to both welfare and rights","","","Other (please specify)","Community building","","","","","","","","","","","Very uninterested","Not our focus","","Very uninterested","not our focus","","Very uninterested","not our focus","","Very uninterested","not our focus","","Very uninterested","not our focus","","","","","","","Very satisfied","","","","","","","","Very important","Very important","Very important","Very important","Very important","Not at all an obstacle","Somewhat of an obstacle","Not at all an obstacle","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very useful","Very useful","Somewhat useful","Somewhat useful","Not at all useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Fundraising & grants","","EN",267.666666666667,FALSE
"109",551,"R_DHNvprO7VMzqKf7","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Wild animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","1-2 years","At the national level, operating almost exclusively within a single country","India","1-5","","","","Mixed: Combines ideas related to both welfare and rights","","India","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","In-person/street advocacy,Online campaigns ,Community events/workshops","","","","","","","","","","","Neutral","","","Very interested","","Lack of an effective team and funds","Neutral","","","Very interested","","Lack of proper space and funding","Very satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Somewhat important","Somewhat important","Not at all an obstacle","Very much an obstacle","Very much an obstacle","Not at all an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Not at all useful","Not at all useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Fundraising & grants,Marketing and communications,Research & analytics","","EN",267.666666666667,FALSE
"110",337,"R_2Y3AgCPoUsE1EMJ","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","Less than 1 year","At the national level, operating almost exclusively within a single country","Philippines","1-5","","","","","","Philippines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,FALSE
"111",12913,"R_1jVeaseMEHB9uDl","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","More than 10 years","At the national level, operating almost exclusively within a single country","France","41-100","8300000","Euro","","Mixed: Combines ideas related to both welfare and rights","","France","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.)","","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants)","","Online campaigns","","Campaigning for producers and companies to go cage/crate-free,Campaigns to increase vegan/vegetarian options at businesses,Campaigns for businesses to conduct ethical sourcing of other animal products","","Cage-free/crate-free legislation or regulations,Other legislation or regulations related to farmed animal welfare","","Educating students/teachers in schools","","","","","","","","","","","","","","Somewhat uninterested","It does not impact a lot of animals, which seems unoptimal in terms of efficiency","","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","","","","","","","","","","Somewhat important","Somewhat important","Somewhat important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat useful","Not at all useful","Not at all useful","Somewhat useful","Very useful","Somewhat useful","Not at all useful","Somewhat useful","Strategy & organisational oversight","","EN",267.666666666667,FALSE
"112",343,"R_2CUoCI7i8czOpNb","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","1-2 years","At the national level, operating almost exclusively within a single country","Mexico","","","","","","","Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES-ES",267.666666666667,FALSE
"113",100474,"R_1fcISk2FNVfMHOh","EN","I consent to participate and understand the information provided to me above","Farmed aquatic animals (e.g., farmed fish, shrimp)","","1-2 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","India,Viet Nam","6-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,FALSE
"114",178090,"R_1QFAa3zZtRFIPUs","JA","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","More than 10 years","At the national level, operating almost exclusively within a single country","Afghanistan","1-5","","","","","","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JA",267.666666666667,FALSE
"115",626,"R_2waGD1E06cq0Mbp","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","More than 10 years","At the national level, operating almost exclusively within a single country","Mexico","1-5","100","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Mexico","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Online campaigns ,Community events/workshops","","","","","","","","","","","Neutral","","","Neutral","","","Somewhat interested","","Falta de recursos.","Neutral","","","Very dissatisfied","","","","","","","Porque concientizamos a muchas personas","","","","","","Very important","Somewhat important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Strategy & organisational oversight","","ES-ES",267.666666666667,FALSE
"116",750,"R_3gOdROxi39JpH2h","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","More than 10 years","At the national level, operating almost exclusively within a single country","Italy","Less than 1","6000","Euro","","Mixed: Combines ideas related to both welfare and rights","","Italy","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Institutional campaigns (e.g., working with schools, prisons, etc.)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","Online campaigns ,Community events/workshops","","Campaigns for businesses to conduct ethical sourcing of other animal products","","","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","","","","Neutral","","","","","","Neutral","","","Very satisfied","Neither satisfied nor dissatisfied","","Very satisfied","","","","","","","","","","Very important","Somewhat important","Very important","Somewhat important","Very important","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Not at all useful","Somewhat useful","Very useful","Very useful","Somewhat useful","Fundraising & grants,Marketing and communications","","EN",267.666666666667,FALSE
"117",287,"R_2uZC1yXGZDzyPew","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Wild animals,Lab animals","","More than 10 years","At the national level, operating almost exclusively within a single country","Mexico","1-5","","","","","","Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES-ES",267.666666666667,FALSE
"118",522781,"R_0vtUvnNSIDUkb1n","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","More than 10 years","At the national level, operating almost exclusively within a single country","Taiwan","6-10","481000","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","Taiwan","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Other (please specify)","Industry engagement, investigations","Policy campaigns (e.g., lobbying national, state, or local government)","","","","Campaigning for producers and companies to go cage/crate-free","","Cage-free/crate-free legislation or regulations,Other legislation or regulations related to farmed animal welfare,Other (Please specify)","Legislation or regulations to promote plant-based diests and government procurement (e.g. https://www.east.org.tw/en/8658)","Other (Please specify)","Working to persuade the city government to source cage-free eggs for schools and employee cafeterias","Very uninterested","Organziation more specialized in policy and institutional advocacy. Poor efficiencies in reaching individuals vs larger decision makers. Research pointing to unclear impact on actual purchasing behavior and high recidivism rates. Limited appetite from individuals in Taiwan without greater public awareness of issues first.","","","","","","","","","","","Very uninterested","Direct work unable to address the systemic issues at the root of problems affecting farmed animals. Insufficient resources to sustain direct work on the scale needed.","","","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","","Very satisfied","","","","","","","","Somewhat important","Somewhat important","Somewhat important","Very important","Very important","Not at all an obstacle","Not at all an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Program, policy & external affairs","","EN",267.666666666667,FALSE
"119",3687,"R_3fqO2RyoDaWu6LT","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","More than 10 years","At the national level, operating almost exclusively within a single country","Austria","6-10","","","","","","Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,FALSE
"120",542,"R_3foC4oz4yryTZjl","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","6-10 years","At the national level, operating almost exclusively within a single country","Estonia","11-20","400000","Euro","","","","Estonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,FALSE
"121",3753,"R_1E4LWAams91fH5Q","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","3-5 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Afghanistan,Solomon Islands","6-10","","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,FALSE
"122",379,"R_1gO6OdwZGLxfcJa","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","6-10 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","Australia,New Zealand,Singapore","6-10","950000","USD (United States Dollar)","","Other (please specify)","Meat reduction","Australia,New Zealand,Singapore","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government)","","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants)","","","","Campaigns to increase vegan/vegetarian options at businesses","","Legislation or regulations related to plant-based food labelling,Legislation or regulations related to meat labelling","","","","Neutral","","","","","","","","","Very interested","","We are, just not as much as the other two areas.","Very uninterested","Not in our wheelhouse.","","","Very satisfied","Somewhat satisfied","","","","","","","","","","","Very important","Very important","Somewhat important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight","","EN",267.666666666667,FALSE
"123",735,"R_3KJ7bFlV3EvtEwV","TH","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","6-10 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Afghanistan,Argentina,Chile,Indonesia","41-100","","Other (Please Specify)","Don't know","Mixed: Combines ideas related to both welfare and rights","","Afghanistan","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Institutional campaigns (e.g., working with schools, prisons, etc.)","","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants)","","In-person/street advocacy,Online campaigns ,Community events/workshops","","Campaigning for producers and companies to go cage/crate-free","","","","Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","","","","Somewhat interested","","We have not officially register in Thailand.","","","","Somewhat interested","","We don't have enough capacity and funding at the moment","Neither satisfied nor dissatisfied","Somewhat satisfied","","Somewhat satisfied","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful","Somewhat useful","Strategy & organisational oversight,Program, policy & external affairs","","TH",267.666666666667,FALSE
"124",749,"R_3L1mEeQRX4Nu7j0","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","3-5 years","At the national level, operating almost exclusively within a single country","Cameroon","1-5","6000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Cameroon","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","In-person/street advocacy,Online campaigns ,Community events/workshops,Other (please specify)","Running a vegan restaurant","Campaigning for producers and companies to go cage/crate-free,Campaigns to increase vegan/vegetarian options at businesses,Campaigns for businesses to conduct ethical sourcing of other animal products","","Cage-free/crate-free legislation or regulations,Other legislation or regulations related to farmed animal welfare","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options,Working with prisons to increase vegan/vegetarian/higher welfare options,Working with hospitals to increase vegan/vegetarian/higher welfare options,Other (Please specify)","Working with local councils to promote veganism","","","","","","","","","","","","","","","","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Other (please specify)","Coordinator of all","EN",267.666666666667,FALSE
"125",806,"R_Aor1gSLfNTclvkR","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets)","","3-5 years","At the national level, operating almost exclusively within a single country","Kenya","Less than 1","10000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Kenya","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","In-person/street advocacy,Online campaigns ,Community events/workshops","","","","","","","","","","","Very uninterested","sorry am intrested","","Very interested","","Financial implications","Very interested","","am currently pursuing it","Very interested","","Financial implications","Very satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Marketing and communications,Animal care","","EN",267.666666666667,FALSE
"126",802,"R_24MIAzZ8lnzhfZg","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","More than 10 years","At the national level, operating almost exclusively within a single country","Slovenia","1-5","","","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Slovenia","Individual diet outreach, vegan/vegetarian advocacy, and education,Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","In-person/street advocacy,Online campaigns ,Community events/workshops","","","","Other (Please specify)","Vegan options in public canteens (trying to change the law)","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","Somewhat uninterested","/","","","","","","","","Neutral","","","Very satisfied","","Very satisfied","Very satisfied","","","","","","","","","","Not at all important","Very important","Somewhat important","Somewhat important","Very important","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Not at all an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Not at all useful","Not at all useful","Not at all useful","Not at all useful","Somewhat useful","Somewhat useful","Fundraising & grants,Volunteer management,Marketing and communications","","EN",267.666666666667,FALSE
"127",1142,"R_OkasPyleXi8UNDb","JA","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","More than 10 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Afghanistan,Australia,China,Kenya","1-5","3000000","Other (Please Specify)","Yen","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Afghanistan","Individual diet outreach, vegan/vegetarian advocacy, and education,Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","Online campaigns ,Other (please specify)","Undercover investigation","","","Other legislation or regulations related to farmed animal welfare","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","Somewhat interested","","Lack of staff and funds","","","","","","","","","","Neither satisfied nor dissatisfied","","Somewhat dissatisfied","Somewhat dissatisfied","Very satisfied","","","","","Lack of staff and funds","Lack of staff and funds","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Research & analytics,Animal care","","JA",267.666666666667,FALSE
"128",7445,"R_2CP82j4LytZvRCc","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets)","","More than 10 years","At the national level, operating almost exclusively within a single country","Mexico","1-5","35110","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Mexico","Individual diet outreach, vegan/vegetarian advocacy, and education,Policy campaigns (e.g., lobbying national, state, or local government),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Direct work (e.g., rescues, veterinary care, sanctuaries)","","Online campaigns ,Community events/workshops","","","","Other legislation or regulations related to farmed animal welfare","","","","","","","Somewhat uninterested","porque no creemos en el bienestarismo","","","","","Very interested","","falta de recursos económicos, de tiempo y de personal","","","","Somewhat satisfied","","Somewhat dissatisfied","","Very satisfied","","","","","nos gustaría hacer más pero no contamos con los recursos necesarios","","","","Very important","Somewhat important","Somewhat important","Not at all important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Volunteer management,Marketing and communications,Animal care","","ES-ES",267.666666666667,FALSE
"129",1834,"R_1myYtkSqrTwXVIY","ZH-T","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Other captive animals (e.g. zoo animals, circus animals, etc.)","","3-5 years","At the national level, operating almost exclusively within a single country","Afghanistan","Less than 1","30000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Afghanistan","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","Online campaigns ,Community events/workshops","","Campaigns for businesses to conduct ethical sourcing of other animal products","","Other legislation or regulations related to farmed animal welfare","","","","","","","","","","","","","Somewhat uninterested","不見難看到效果","","Somewhat interested","","沒有資源","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","","","","","目前尚未行動","","","","","","Somewhat important","Somewhat important","Very important","Very important","Very important","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Not at all an obstacle","Not at all an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Volunteer management,Marketing and communications,Research & analytics","","ZH-T",267.666666666667,FALSE
"130",532,"R_3GxGP1WKSEYVTQ5","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Wild animals","","Less than 1 year","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Austria,United Kingdom of Great Britain and Northern Ireland,United States of America","1-5","0","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","United Kingdom of Great Britain and Northern Ireland,United States of America","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants)","","Other (please specify)","we are an online community building organization","Other (Please specify)","We support other advocates in their campaigns but do not directly do them","Other legislation or regulations related to farmed animal welfare","","Other (Please specify)","we do not directly conduct institutional campaigns","","","","","","","","","","","","","","","","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","","","","","","","","","Somewhat important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Somewhat useful","Not at all useful","Not at all useful","Not at all useful","Very useful","Somewhat useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Operations,Research & analytics","","EN",267.666666666667,FALSE
"131",765,"R_D6tT2yxnwKToGml","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets)","","3-5 years","At the national level, operating almost exclusively within a single country","Mexico","1-5","","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Mexico","Individual diet outreach, vegan/vegetarian advocacy, and education,Direct work (e.g., rescues, veterinary care, sanctuaries)","","Direct work (e.g., rescues, veterinary care, sanctuaries)","","Online campaigns ,Community events/workshops","","","","","","","","","","","Very interested","","No contamos con recursos suficientes para sostener esta actividad","Neutral","","","Somewhat interested","","No contamos con los recursos para hacerlo","","","","Somewhat satisfied","","","","Somewhat dissatisfied","","","","","","","Es muy pesado,  falta compromiso por parte del público en Gervais y de otras organizaciones","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Animal care","","ES-ES",267.666666666667,FALSE
"132",548,"R_12isiCsnRsATin5","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","More than 10 years","At the national level, operating almost exclusively within a single country","Latvia","1-5","100000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Latvia","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government)","","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants)","","Online campaigns","","Campaigning for producers and companies to go cage/crate-free,Campaigns to increase vegan/vegetarian options at businesses,Campaigns for businesses to conduct ethical sourcing of other animal products","","Other legislation or regulations related to farmed animal welfare","","","","","","","","","","","","","Neutral","","","Very uninterested","The opportunity cost of direct work seems rather high.","","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","","","","","","","","","","","Somewhat important","Somewhat important","Somewhat important","Very important","Very important","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Fundraising & grants,Operations","","EN",267.666666666667,FALSE
